start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
MB,1084.69961803,10604.9304357,1438.04264471,1300.1331792,2310.7757435,5839.48872717,4053.05773056,3313.96278464,6818.10777009,7707.55564446,14642.5642931,23320.7497433,22383.0427164,19757.9704964,875.990261751,4941.46453969,936.728828756,707.437270985,1213.83202994,659.565243992,708.869985123,2777.98020452,2094.27726737,1338.80972619,925.14574672,310.035658665,404.197656575,792.873839009,632.604488494,681.560742766,242.514151689,868.429404393,486.049864635,786.023269403,1160.9493607,21.3705882353,460.147942048,300.314789648,159.263877608,200.835284066,528.415128061,313.852214091,192.335074987,213.249089971,245.116055513,0.0
SO,13046.802653,1612.04962406,1958.98812204,1471.14480519,3275.59017866,6466.95149438,3663.35375203,3943.77670312,7785.84536475,8818.44507928,20938.5421394,53058.5427157,15632.2551673,16942.2915383,2191.84145122,7923.55945278,3115.96948454,1983.8602777,2682.31391916,1165.67621393,2105.63173241,3636.86457655,2455.5340383,3588.26839961,4613.81520043,2235.72359642,2879.1405298,5082.10080348,4530.36178749,2942.3715043,1391.99479045,3409.51162331,1084.13425878,1872.68100063,1683.6972994,97.3787925697,1169.17845148,711.181710962,658.525819227,1408.39401378,4088.00614102,669.72534947,380.405857558,841.248034525,1754.702326,0.0
SB,1380.22867262,1570.96112541,371.704605096,1205.25577781,2071.20870224,4438.85642984,4578.68178736,2293.67745031,4720.50932679,4261.75689156,8274.34733223,11954.4214205,10951.6698772,9503.5430689,303.970427405,1072.36155764,254.498218809,257.214858671,949.983008323,628.670771849,639.91819053,1471.39948132,908.490333454,644.366157372,323.701218286,132.111908113,222.050503264,476.014042459,538.272150966,677.65522161,187.612764532,1027.24274188,348.210107488,705.898591398,972.147978234,5.84520123839,389.864969911,446.169586399,137.801985579,104.676997306,392.698231541,418.50086245,227.548564593,180.22911691,265.285613097,0.0
SS,1385.97098897,1264.5854067,1202.95802005,341.648681865,516.787169126,1773.62877984,1948.71814295,1055.99143983,2887.61428839,3027.00716698,7129.06096123,11935.2158015,12537.3745493,10163.6307131,193.170363073,746.233707263,146.879344082,211.948458044,638.384849155,290.668735341,312.471571308,1349.56056719,971.490965381,363.620659268,197.495518877,92.7890890327,140.704237197,405.375666439,408.15834305,448.947925295,174.375795773,686.302139708,216.958373206,375.757794888,663.822071221,9.49303405573,276.155601571,252.77873963,85.2006707946,104.431800088,359.395323871,199.050563575,194.091665661,170.709283235,180.062292094,0.0
CM,2345.71697894,2933.33478214,2146.08040824,479.022598609,336.259109002,1279.76808599,3150.02145538,1662.50356439,4345.6565766,4195.33399743,9675.05498037,16222.7642254,15914.0821512,12499.397936,269.292254031,805.253702438,243.610478737,200.896643346,896.930882688,413.629484808,322.137181188,1813.40325077,1021.92003739,551.083681128,168.080979186,113.10441143,133.529289802,507.993567475,376.719570316,572.829175881,164.636952676,851.025658397,203.117793146,446.003135513,596.525804484,6.11857585139,235.76345275,333.001292,92.9093267929,100.513552598,408.513011808,217.412074303,155.340577379,191.438028226,284.05737271,0.0
DC,6106.2031583,5265.49151488,4586.05270194,1822.10429148,1295.33223299,849.940722126,3334.37452321,2148.54438838,9520.95248817,9869.38615121,18469.0586272,43069.2847875,30651.539479,23805.195801,1057.52185343,3993.72818209,925.870682053,1004.79634782,2751.53264646,1430.42365204,1396.90988434,3385.03269135,2672.04399904,1965.24016525,973.149000844,491.097548014,570.646132041,1466.55161902,1671.6997353,1822.35153995,883.49472813,2203.12432418,2225.72907871,2642.30339619,3528.76555359,40.1476780186,1601.55211156,1689.78550052,793.383763553,1000.48708067,2573.2691086,1053.58978931,918.975288489,1240.10826599,2004.62247196,0.0
BP,4458.44946591,3118.79745487,4900.93842896,2067.93649297,3173.21205688,3726.1787986,1748.90460175,3335.22980647,19288.0717094,19956.7146844,31392.7398563,70731.7946785,55444.2535222,29765.0686221,1043.93412944,3038.33956549,936.363009797,744.919136075,2573.101615,1515.32245453,1780.52871819,3446.5295545,2508.9602643,2194.51721081,987.382048705,292.168043773,348.665869219,835.94456462,795.939853645,1193.13031844,427.671427901,1713.15888853,2064.35044295,2558.2800638,2264.65638026,26.6512383901,1342.309755,1383.44554635,398.797056813,492.935227105,1493.15170748,899.918006916,550.396902685,625.405420637,1121.17283985,0.0
GP,3233.65987361,3045.5190503,2428.67020827,1017.89242759,1723.79907724,2321.04808545,3282.65526785,976.800599091,9323.10986825,11630.7519072,18491.8869151,37482.2488554,30497.3717449,23013.5929014,1108.70587297,3906.71901478,1091.61954552,797.392062375,1701.77305429,986.080975165,1338.90722461,3168.77408494,2938.81930897,1856.68158297,1597.39086955,586.594866176,566.345251498,1127.97456207,1462.94787168,1054.03421723,331.380020908,1450.70806026,1590.89723239,1558.37019822,1965.93203597,45.4046439628,900.296560251,742.892894,376.041941083,560.49822484,1215.89368408,664.13051814,363.195794969,411.018666318,820.421656414,0.0
24,6493.56290861,6029.76096391,4958.17110289,2881.0378158,4189.32468471,9817.16798145,18077.3931875,9439.51073137,1762.18861324,9600.1699094,30388.2322102,60575.0737552,41680.4048959,34547.3787349,4429.42019487,8533.12736587,3347.48772265,1824.28986638,4501.65639634,4178.18583759,5805.77463043,6559.99363047,7461.51048812,7141.10560425,4114.37707906,835.57486631,931.888494632,1803.62911423,1596.16548591,2089.63647689,792.730240039,3013.30083162,4463.07966373,6289.13337086,3995.98726629,89.077244582,2247.95786726,2006.86663048,861.729304545,860.244804525,2112.12943053,1441.80892003,1170.91128021,866.518698484,1593.49649458,0.0
16,7181.84572796,6940.1292047,4215.82287001,2879.60303901,4012.99998861,9753.88857639,17721.7446457,10705.1579242,9281.15023856,1525.2741533,21824.1026584,52266.6588276,28075.1963679,24096.1461247,7075.48164462,11327.0636478,4659.26844719,2736.5009891,4977.76958037,3864.7836684,9260.7766723,8069.06113814,10502.4592263,10873.1467955,6827.89514294,1206.10631659,1437.60523367,2758.78472116,2495.94371892,2310.12722448,1065.14555238,3064.81468243,6793.20359924,7699.54710104,4170.48331926,77.3773993808,2795.35768499,2604.85976975,1364.41925335,1382.97820822,3178.70996743,1896.28588919,1421.66581695,1483.90664629,2795.33662297,0.0
