Station,Year,num_riders,id,name,abbr,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode
Richmond,1999, ,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2000,3441.462022640375,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2001,3976.6787148594376,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2002,4105.723577235773,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2003,3635.6194331983806,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2004,3263.5384615384614,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2005,3289.088,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2006,3250.736,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2007,3257.493927125506,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2008,3468.3790322580644,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2009,3467.9065040650407,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2010,3284.125,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2011,3425.52,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2012,3658.184,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2013,3897.927125506073,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2014,4038.7302904564317,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2015,4417.158536585366,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2016,4434.236947791164,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,2017,4252.302419354839,RM,Richmond,RICH,37.936887,-122.35316499999999,1700 Nevin Avenue,Richmond,contracosta,CA,94801
El Cerrito Del Norte,1999,7537.189516129032,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2000,8362.053030197061,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2001,8962.172690763053,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2002,7745.650406504065,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2003,6863.384615384615,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2004,7279.344129554656,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2005,7398.464,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2006,7707.48,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2007,7830.700404858299,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2008,8212.59677419355,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2009,7970.959349593496,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2010,7351.850806451613,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2011,7510.52,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2012,7965.22,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2013,8494.113360323887,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2014,8687.497925311203,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2015,9027.605691056911,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2016,9228.907630522088,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Del Norte,2017,8958.5,EN,El Cerrito del Norte,DELN,37.925655,-122.317269,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,1999,3885.9919354838707,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2000,4094.7681904739106,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2001,3932.3052208835343,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2002,3733.040650406504,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2003,3677.267206477733,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2004,3695.97975708502,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2005,3704.34,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2006,3851.78,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2007,4087.31983805668,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2008,4268.3588709677415,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2009,4289.735772357723,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2010,4120.225806451613,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2011,4241.964,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2012,4463.648,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2013,4690.352226720648,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2014,4728.49377593361,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2015,4942.3943089430895,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2016,5131.2610441767065,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
El Cerrito Plaza,2017,5078.346774193548,EP,El Cerrito Plaza,PLZA,37.9030588,-122.2992715,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530
North Berkeley,1999,3268.8346774193546,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2000,3536.4640641109468,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2001,3876.261044176707,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2002,3515.548780487805,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2003,3253.8704453441296,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2004,3435.8056680161944,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2005,3511.74,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2006,3674.348,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2007,3819,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2008,3962.7862903225805,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2009,4019.1463414634145,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2010,3816.564516129032,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2011,3966.8,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2012,4222.716,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2013,4511.064777327935,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2014,4673.3153526970955,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2015,4915.308943089431,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2016,4864.646586345381,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
North Berkeley,2017,4676.028225806452,NB,North Berkeley,NBRK,37.87404,-122.283451,1750 Sacramento Street,Berkeley,alameda,CA,94702
Berkeley,1999,9729.34677419355,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2000,10196.602520219265,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2001,10768.819277108434,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2002,10875.227642276423,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2003,10555.060728744938,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2004,10528.886639676113,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2005,10393.484,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2006,10702.752,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2007,11175.412955465586,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2008,11813.806451612903,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2009,12019.471544715447,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2010,11317.34677419355,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2011,11749.348,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2012,12369.04,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2013,13130.773279352226,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2014,13326.896265560166,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2015,13743.886178861789,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2016,13747.847389558234,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Berkeley,2017,13252.34677419355,DC,Downtown Berkeley,DBRK,37.869867,-122.268045,2160 Shattuck Avenue,Berkeley,alameda,CA,94704
Ashby,1999,3647.907258064516,AS,Ashby,ASHB,37.853024,-122.26978000000001,3100 Adeline Street,Berkeley,alameda,CA,94703
