Year,Total_Annual_Exits
FY73,"4,591,241.00"
FY74,"13,960,680.00"
FY75,"27,876,794.00"
FY76,"32,897,431.00"
FY77,"34,599,088.00"
FY78,"38,655,206.00"
FY79,"41,191,566.00"
FY80,"34,482,335.00"
FY81,"46,879,319.00"
FY82,"53,290,643.00"
FY83,"53,699,387.00"
FY84,"58,277,463.00"
FY85,"60,798,419.00"
FY86,"58,894,468.00"
FY87,"56,240,997.00"
FY88,"57,595,481.00"
FY89,"60,457,004.00"
FY90,"70,549,547.00"
FY91,"71,900,906.00"
FY92,"72,987,888.00"
FY93,"73,939,485.00"
FY94,"73,175,021.00"
FY95,"72,045,140.00"
FY96,"72,446,572.00"
FY97,"75,871,750.00"
FY98,"75,667,999.00"
FY99,"81,364,678.00"
FY00,"91,092,291.00"
FY01,"97,280,846.00"
FY02,"90,796,756.00"
FY03,"87,380,764.00"
FY04,"91,042,192.00"
FY05,"92,756,099.00"
FY06,"96,852,220.00"
FY07,"101,704,381.00"
FY08,"107,487,604.00"
FY09,"106,874,420.00"
FY10,"101,003,814.00"
FY11,"103,713,503.00"
FY12,"110,776,960.00"
FY13,"117,815,050.00"
FY14,"117,073,699.00"
FY15,"125,979,396.00"
FY16,"128,523,988.00"
FY17,"124,171,100.00"
