start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
MB,1316.57722964,8363.89463382,1184.73079685,1209.85548902,1943.08391928,5404.36115437,3383.94451197,3040.05579809,6056.00061468,7266.56959246,17493.3205677,19851.4132981,22385.0035058,19366.4390997,904.020804977,4343.98414614,826.984411127,717.799891032,1296.07429344,546.714409046,834.727383181,2769.14164661,2384.67449404,1345.5893979,903.658105739,293.660775456,364.952406708,753.99902325,621.814772108,698.271853052,251.914380318,796.284221423,533.108762519,598.079318355,916.90202433,152.706427135,273.858157746,258.334089671,125.698989569,172.38162303,433.841673353,192.282367975,124.526025538,137.515375395,176.75906763,23.0713344626
SO,10779.9700358,2061.48175132,2226.54988806,1868.73373652,4502.32653075,6579.90944307,3677.49579928,3622.74120132,5979.3252588,6706.67444501,15782.3509361,42653.9796106,11663.7954818,14037.2756763,2225.04526137,6399.84119142,3187.00190843,2281.68393563,3431.23691591,1598.77127057,3518.83002516,4245.61133417,3128.68970697,4017.84938037,4893.09589289,2442.77483333,3040.86380477,5926.45768968,5065.73553102,3664.88072157,1715.14052523,5182.23206386,1053.91744579,1984.97913658,1252.71619909,819.309597115,1340.52415674,903.871984309,688.202173913,1396.29573291,4238.69222017,655.279858242,426.740153249,771.080851338,1386.86573945,352.636505295
SB,969.299141629,1631.26360268,462.133956433,954.080856786,1451.35443104,3267.98054573,3111.73950637,1944.73264089,3817.00029966,3446.40077318,7733.50956294,10361.4012601,11682.5065242,10080.1793486,276.171655918,965.053555331,245.297544751,288.77333056,882.372953134,464.235178361,643.757357326,1470.10362765,1106.97102093,684.550468563,305.504589537,149.926321238,178.150136705,513.736120935,521.707180996,513.440488078,254.071628181,1031.47134833,333.596443183,552.95861987,722.314635403,83.601138221,311.957155735,413.274882364,132.869251191,118.553898085,325.84292401,284.477443609,197.766678059,146.180714632,186.564893954,33.9792054246
SS,1193.77700675,1458.52180798,964.221473645,382.313706698,415.51014047,1443.51791088,1419.96788909,897.279217312,2527.57226812,3059.09920602,7472.74513309,10427.0333829,12451.4935684,9964.21788661,231.294398546,768.873799122,184.697470455,159.186013453,726.650892548,323.59283733,356.261257392,1429.12289271,1095.28541017,525.433201086,249.430266873,153.756880343,127.699556203,388.555368659,431.372955115,515.12735693,158.945435724,806.190178014,242.187074405,371.839241384,621.538638097,63.7934812327,301.016377901,246.779155398,87.1227574866,147.807421221,413.713058833,174.089383538,155.716547297,135.593289053,149.225096833,40.5725687737
CM,1866.94843581,3505.26589448,1437.45203671,356.173078942,367.454903563,975.851033215,1903.63084539,1299.85685855,3106.82014126,3499.78018069,9169.90362864,13274.7490242,15982.5557174,12746.8116868,208.574785283,825.785804927,171.562327261,161.947440736,753.219482005,334.724260255,367.541119597,2068.42163561,1172.46916303,495.944841352,184.981193101,91.6759319247,90.3337865415,443.376959196,330.105942722,520.460454991,126.293183552,909.502802461,209.474869486,284.081358039,430.729522423,50.6680193567,244.364808266,243.841053721,79.6374914559,93.4597684924,316.924799152,145.785931727,113.836395336,139.548024211,196.538564791,32.2657746144
DC,5769.80685261,5689.58870893,3685.53151059,1600.60199263,991.781538827,904.383609716,2064.41525305,1672.94599196,7717.65471237,9035.05818152,19456.9333561,38250.957444,31373.370964,24161.4315205,947.322829802,3414.42063558,967.285455734,972.441920017,2653.38971639,1515.28384103,1520.73270528,3726.88086966,2948.02656889,1791.63845533,988.404588546,456.715204018,440.404731196,1418.78771781,1307.712144,1698.2862517,799.429977612,2571.97969132,2056.99898759,2233.41471019,3419.85523542,388.238624229,1802.9386272,1461.1697356,682.708401438,913.525102777,2323.31768849,1012.57185058,801.137334938,1066.69611677,1345.34342873,386.434610736
BP,3895.62786314,3199.85615917,3499.91341496,1541.12969578,1932.91359822,2327.94052424,1527.94247278,2464.61299989,13377.4180778,14996.5689505,26016.2179782,55241.3319059,47683.1602856,27473.1566233,957.497956353,2643.12425283,752.804044201,719.124004676,2338.31214449,1539.65778775,1988.5997786,3542.47937482,2585.19520342,1782.90196143,882.417524543,349.62284367,288.991041834,976.578996899,845.014199035,1138.29448869,434.3409398,1980.31128117,1905.0595456,2084.41151693,1907.6246669,229.686767314,1453.60892102,1114.4293773,446.141909121,509.196344616,1524.47985329,827.223762469,491.655182422,555.903454783,819.326649133,231.92975819
GP,3036.13974809,2687.99649222,1967.07547822,901.576275669,1238.33109305,1645.54652243,2344.7113723,902.773767423,7344.40214469,8669.3494616,17012.7287943,31029.581944,27199.848471,21914.9931722,1015.69670273,3747.4948473,1068.32088423,901.288015989,1712.01173041,1073.6675295,1705.24892072,3355.89592558,3450.48246407,1968.08843997,1538.41791435,589.202487939,530.846971183,1277.78961386,1652.16965834,1058.58420161,365.859234054,1730.2192606,1680.92238898,1631.60520124,2018.93489752,428.157924455,936.60429037,801.086503314,417.177439647,507.011865632,1374.63689213,596.975048788,308.913660634,340.78189545,694.704350303,226.15112039
24,5465.85415565,4369.46514309,3973.58144274,2474.56675335,3107.72162323,7603.44183334,12459.3299836,7324.10050224,1545.47668331,6513.07231369,25586.2673943,49440.809454,38174.7996523,32852.3830634,3822.20289657,7464.99304833,3049.62821481,2036.53461866,4915.80035514,4475.15179599,7065.29874885,7067.38861828,8120.97532071,6617.18693621,3795.53465829,943.914796874,991.16966527,1987.93162947,1786.68093405,1927.58380487,841.735264545,3372.48775991,4512.69558184,5711.9936219,3545.48976443,652.370944654,2322.92985527,1988.10786898,768.706917491,890.756789702,2131.81759686,1334.73966141,981.971084331,925.580157409,1269.41988717,444.903617245
16,6538.65760102,5039.9554068,3417.27923069,2848.57773881,3307.37144838,8537.7997048,12918.2020466,8276.63488167,6314.96929775,1555.14159163,17641.1806542,41048.182363,25132.2984997,22761.7741275,5956.54387154,10034.0156102,4512.09913519,3006.7265362,5523.14818023,4110.00403479,11037.2475165,8223.27379665,11047.7752568,10169.6945204,6092.55989529,1489.8055331,1603.01586526,3221.19462441,3065.01686925,2900.91242434,1238.77207743,3803.23278304,6348.70429433,7091.73487474,3867.43831714,696.996676474,3327.64134942,2749.67404133,1477.6153957,1535.03987934,4049.80724043,1791.8298627,1363.52809989,1611.69529159,2607.22048303,839.978339624
CC,15240.9227322,11901.5148078,7701.27193379,7183.01318068,8406.05513388,17596.536479,22609.3368936,14872.1173452,26454.5692195,19409.8571577,2618.26195925,9142.23590597,9060.48249131,11524.1365112,11787.3340689,20642.6701898,11560.370226,8862.21696732,14916.3825443,6465.2124288,22353.6934258,20284.4590805,21379.0976597,19932.4203924,16133.2608294,5977.60932222,6861.95822758,11854.2456507,10857.3554241,9261.04295224,4634.26623228,11149.4792812,13674.727247,17395.49282,9825.60826424,1931.40127195,9990.12745797,8598.64373136,5118.92036366,5738.71354126,13711.6259483,5532.27923366,3961.89720398,5803.97106353,8501.98335612,3141.60540729
PL,20683.6287106,34455.6848589,11805.7474016,11655.6763351,15101.9940652,40999.3811614,65244.2602366,35010.417632,55920.4141599,46251.7581043,9027.873918,4785.32629499,3617.82928121,12868.8182259,12031.4025439,28283.2516395,11752.399419,11698.1070819,23931.4410052,11360.0942415,33689.7090092,25536.0128394,22277.1808607,22096.7804794,17663.4833665,7325.28999574,8029.81540759,15486.503482,15128.7669539,13098.5771162,5855.58143977,16900.8759324,18596.6773777,23709.7775897,15787.6704761,3711.29421776,15619.4800128,14691.1891493,7781.22393484,8586.55253054,21075.8054355,8441.62243256,5459.50718248,8932.11533181,13949.2891349,4186.24990242
MT,20037.6561735,10593.4356583,10751.0051136,11160.3842289,14038.9300177,26076.9318806,29493.868898,21941.0616908,33263.4870942,25887.4743791,9348.38991005,5264.11140004,3119.8144348,2385.47788741,12662.5278983,21143.8660079,13170.9831139,10996.1988018,17681.0415292,6989.73811951,28889.699793,22369.6208411,24141.1701477,21012.5940424,20305.5468657,11410.3261697,12507.9319078,22949.789388,24164.1399001,14369.5199005,7025.79602712,12222.471755,16843.4420993,16940.0797379,10346.3662739,2575.10990371,12958.0496954,11828.464357,8728.26526098,11324.4586214,26584.9497177,7847.5177504,5591.29562444,11733.7127834,18737.1498316,6475.37066827
EM,17666.8238898,11453.0827058,9871.63654541,9434.13665191,12105.5719977,21352.0975041,23279.5649296,19404.0550155,28996.3406302,23133.4980445,11474.4617824,16167.6994893,2655.63747164,4069.91200729,13018.929202,25700.4827261,13147.8769691,10974.100052,17756.5181333,7413.71512675,33656.3553122,23939.6460975,23635.0420196,20753.2552775,21462.4692304,13774.544563,15186.0035623,25904.9930379,25862.8941578,15356.3965041,7737.28379892,14334.6762326,15931.5829663,17148.2316666,12990.791287,3619.20333541,13143.4088254,12497.7729234,9170.01692819,14428.1596045,36315.7612386,8517.57827325,6463.33522195,14847.0911785,25660.5680659,7565.87510278
AS,918.787133843,1811.92574321,277.211062241,197.253121935,189.245041953,926.468133773,893.0585005,1001.56000475,3800.84050393,6027.95268705,11124.0553909,10724.8749002,14194.6464823,17174.5464075,658.387816379,8933.8248888,1672.2985854,2244.95871002,3781.11229061,2319.39524949,868.582236718,5353.56268884,5627.74192101,2598.06526346,380.175914094,180.080995968,253.985234331,639.726097358,509.614858787,594.148992541,153.255853567,668.438751028,1779.69123451,2475.77068511,2226.27467929,634.059225138,1196.64567694,875.914871665,212.805623248,233.817162967,534.108030452,861.014728026,474.777113733,783.180666587,1111.57689778,411.270587041
BK,4384.4301267,5115.66803966,992.636746015,751.317842036,816.387115516,3037.98516895,2274.13856628,3470.47969182,7065.12247813,9733.04540749,17150.415096,24312.5140886,21761.988543,30419.3638439,8096.98274292,1871.7743712,4973.01051245,16492.8698936,19435.3722528,9414.26933985,1919.96580186,10760.9761642,11400.4101316,9146.71343626,1485.24858094,1453.58227832,1884.5102539,3563.64311074,3166.67825493,2648.91329163,836.752406708,2300.49110672,4953.34988905,6832.42198084,4322.72402449,2258.84255946,4015.11072444,3303.39071889,1125.4185954,1345.17861155,3234.88268349,2909.65604971,1546.65105699,3332.98370135,6588.15637315,2803.46112316
NB,833.762648221,2680.3506226,239.622387986,187.424668886,199.468237293,911.011697723,652.927322258,1027.68466671,2995.14410433,4461.32239789,10233.204964,10389.5701304,13008.6125056,15795.4668494,1567.24528664,5354.48597185,619.168415109,1533.00873825,2281.69731889,1577.19633669,365.832598789,5152.01648588,5179.0313204,2126.45825185,565.664757249,188.422612361,226.620828256,759.745377772,492.2911721,510.366402667,91.8865523493,417.60723548,1647.21757457,1749.97441677,1867.18589359,871.406105679,818.895257908,519.117159995,167.892917571,200.636157588,404.047012789,595.649757298,273.555313184,396.035373513,922.080810227,316.045155874
EP,694.156978414,1959.78036098,281.335055524,154.864913767,158.903460232,912.41621544,605.38358396,813.895256917,1953.24051829,2754.30128731,8007.90550388,9695.90537163,11382.9823714,13172.0845667,2107.51799608,16570.0554534,1520.39413801,473.061472852,2520.66325547,2296.73832902,379.496269329,6195.01475774,5482.64934867,2742.43234866,867.148341704,220.142476745,235.726731354,634.861145453,397.129990985,467.001411137,95.2839014532,345.793520362,1787.64962158,1434.97233796,1906.42693344,702.550396248,722.958174587,435.549673096,123.451006469,202.0962936,344.245334185,573.01919324,199.167337811,365.615183215,997.522834755,263.289445452
EN,1364.19577996,2942.05200699,945.830491248,683.967494824,705.566041586,2535.33747313,1898.23256263,1547.02850654,4412.22838371,4807.22066282,12564.3650386,19391.2680496,18235.1454432,21034.2798196,3383.29074861,20594.7958265,2153.10182522,2299.09996632,653.004163076,2573.66931558,912.256965536,10248.8836256,7971.41318216,5670.97184315,904.744728917,269.393564445,249.688208169,790.166016821,428.278169733,853.705032839,131.173977929,1002.25635135,2299.92408888,2946.81874102,4584.80526563,844.147597749,1423.01695444,1100.51931657,222.308188951,314.992005211,666.838653947,1555.63633639,622.786085272,797.53357653,1741.13233628,445.98107076
RM,638.127775466,1530.04771217,519.158832358,344.373758012,309.63127879,1519.8855231,1346.38347846,1051.24771415,4126.55862284,3741.01613272,6240.28422687,9817.97438458,8419.57690224,9257.41227872,2544.22093326,10278.5088591,1701.18925773,2455.29900047,3033.17924951,361.221134358,657.059131524,3800.10555985,2919.22524295,3667.80668717,612.25946041,237.121325547,177.71912885,524.616767214,305.528779459,611.123089839,107.624679782,1035.32204474,993.543955244,2353.68119954,2058.07424441,286.828694761,856.646591281,619.398988578,124.143041893,119.654107601,373.559795239,768.660836379,426.01363785,440.468921315,805.949058417,184.06844136
OW,911.419480519,3601.60998494,707.601532983,369.527138498,395.530870655,1669.70954115,1999.09265357,1909.23696048,7569.85057852,11804.8997112,23041.9951613,32750.7381363,33591.4345577,41908.4157697,946.700514626,2134.69695385,424.932106947,400.378575886,998.734751404,644.818565188,748.840815973,2499.63855489,1695.21444273,1381.04526583,722.866745916,104.459881918,148.48403271,490.46211725,312.33356068,456.244417863,151.722000654,1027.06958453,1093.96518817,2441.17580413,2530.94448374,176.485629092,1012.27861204,856.342970569,357.194244505,313.595162313,701.946315889,731.047640841,333.055422648,297.541268686,480.483829138,175.082465056
12,2500.84653977,3263.56242484,1381.94206168,1317.52060586,1878.52606417,3267.27688292,2934.22552577,3035.63708976,6360.78869902,7586.83856231,16587.6284942,21345.9901542,21826.3734534,29537.0688252,5439.63210596,12253.4736832,4952.71390977,6269.27840798,10114.7634031,3505.81378545,2555.84765966,1075.48646567,1118.76845473,5137.75126651,4162.10070532,2215.70632461,2550.00387629,5179.59957602,5611.50131802,5201.56143323,2208.20858668,5533.74882265,891.783062399,4777.66605397,6723.13244673,1084.82868139,6120.33292916,5618.96961822,1591.38108017,1611.33710066,3230.13795952,4626.87418249,2506.84519897,3285.73542205,4976.79296165,1163.09490376
19,2284.93802738,2457.41999465,1092.97014027,1056.45396446,1117.47757784,2680.33932757,2253.02609538,3285.89693453,7992.59506077,10803.0066054,18916.2900329,19810.3087397,24416.8539288,30296.5159004,5667.91835666,12132.693347,5372.14644566,5564.30944704,7924.1964199,2696.38305695,1652.01845028,1077.45355929,1020.06663546,4536.16297513,4733.9257868,1974.90525771,2579.70529585,5333.6480153,5466.42158311,4697.3072543,2190.23192963,4268.97382835,945.959450504,4209.18172061,4513.36959246,762.659386609,4426.48843948,3617.89410384,1130.67675959,1457.58523433,3207.34955174,3523.51490931,2195.74545999,3203.13190288,5159.68181026,1302.16498014
MA,1390.10481738,3442.69796626,645.91252588,525.197219828,486.898449186,1662.88304655,1582.44513259,1958.21284535,6479.39763341,10085.7491912,17958.3939602,19145.0095709,21914.0027614,25406.9240631,2474.08585743,9231.94944723,2139.01335503,2932.77574024,5528.77581008,3104.22929409,1324.15375197,5064.09454763,4185.8801158,961.815468513,1640.66995998,862.776119647,1119.43431405,2962.63314214,2939.40561829,2989.92660059,949.58780152,5185.08314759,1710.84816389,3858.96446403,4335.18217976,674.953837657,2392.52149593,2127.99294432,504.087147216,499.279963743,1226.71277898,2018.64376703,952.458764995,1398.47303486,2229.58926615,580.976240998
RR,832.44093237,3885.81370868,286.817571102,254.081953897,185.587084807,831.755916471,801.243269736,1340.74347876,3588.8999787,5626.0436749,14247.1859818,14434.1251444,19455.1895004,24589.6429562,404.272722815,1235.25642862,489.355707946,823.120325022,832.757085401,519.515942029,683.512705677,3770.58619424,3967.72628558,1683.89720299,756.3585005,1517.44573588,1877.20826077,3804.26493804,2615.05088363,2097.66894608,542.612610578,1683.07867099,960.634430444,1179.80221998,1541.82024775,446.197802807,556.851995106,365.040563365,147.120147701,125.737174458,274.619741052,428.084995096,150.464552686,250.280329777,583.672190853,248.698499212
OR,292.637395861,2246.6332521,159.579858738,145.393792287,87.8201031234,423.545569457,308.715465541,451.097351085,917.573789711,1437.63386975,5524.10533498,6376.61168831,10922.6030917,16111.3157746,161.244339604,1456.75350134,217.814747343,202.578145958,307.704303744,174.457368223,96.9031367946,2103.30857381,1959.78688619,819.812070195,1574.72037158,283.717276393,465.925991362,1057.61478944,644.579916194,943.135057505,115.148881096,556.981852358,357.100334334,512.571695048,1153.47866405,314.173994274,156.156712929,73.7457596561,57.1191575777,25.2438324071,66.2919745015,94.0304278483,40.1817225871,88.4900353651,257.477290063,56.9905757477
LF,340.425363309,2657.44659524,186.603836667,122.57240235,108.136850526,401.256675285,254.400163452,461.064298097,958.114892468,1499.34348024,6343.76341991,6811.34210477,11899.3118012,17678.8763891,251.544655116,1893.81540759,225.307543562,236.217316513,241.235558759,152.5424287,145.636600394,2546.44659326,2543.57603643,1104.19404985,1923.57988103,509.839520243,408.393002764,1719.69380863,1089.21232577,2111.65738952,239.101758348,1026.75114169,320.009814556,401.199892518,1349.0544979,473.379657642,158.618154081,119.970480549,32.230923653,31.2937982308,63.1527316315,122.680060824,35.4236089235,76.8445966695,224.204999158,60.9445451574
WC,723.398574995,4887.72126462,502.89168425,401.961815606,455.308473754,1309.43487077,783.282467532,1154.08606249,1866.08201284,2895.99464868,10366.4146111,13243.561825,21908.9287745,31132.1270038,594.829460014,3431.39812278,703.064213894,628.030323338,773.784588447,430.614812228,423.082633956,4790.23033671,5136.98043627,2871.31470029,3596.67176687,1209.3691551,1677.43306488,763.13644883,3125.45847276,6379.24845166,1144.32394772,5536.85222988,670.621604902,941.925467324,2229.46311579,931.228079586,538.722707956,298.356831803,114.167132753,71.5019450801,185.480387728,460.801210536,228.041368243,317.407271142,562.055146265,153.819381953
PH,579.266771177,4340.60797448,518.796127671,428.060955254,325.571175964,1191.44567397,708.186218511,1053.55879125,1694.11231092,2794.23671134,9612.93919631,12341.2228204,25013.376822,32771.4521105,495.738247793,3261.50116992,489.48889863,367.777643219,418.672752534,249.65870853,297.557635195,5878.90226901,5652.64634363,2910.64103292,2559.41797924,641.528159331,1341.83850634,3227.97770216,653.881515548,2422.6153645,641.076586724,3278.32330431,558.594775476,634.053784659,1997.33987191,1018.03780102,466.024930409,281.922275551,101.947290657,76.9285947081,148.691477211,355.815045024,146.90250577,290.423894222,678.082007885,156.600172863
CN,600.320800024,3234.57323695,490.360315809,511.889561849,500.881844929,1500.40882146,967.30685112,917.241132971,1671.82350194,2604.11540214,8102.59071988,10783.9639633,15336.4278671,18999.5349575,590.797287686,2631.70485453,476.81568744,480.395904286,837.582942534,564.249224841,405.650722656,5190.32993204,4764.23359535,2815.69194082,2024.20195845,942.414964288,2562.95230765,7404.98262058,2328.85926377,679.567962891,969.871833735,7352.48490792,681.662464957,1068.80068997,2037.44145046,681.972976413,609.138217084,580.28207178,129.996939978,118.329061785,256.412349054,561.891998772,219.799093088,321.890252311,678.259740755,186.711053325
